dataset,seed,task,contrast,metric,difference_pp,low,high
HK,1993,1,C3-F1,BA,0.0,0.0,0.0
HK,1994,1,C3-F1,BA,0.0,0.0,0.0
HK,1995,1,C3-F1,BA,0.0,0.0,0.0
HK,fixed_three_mean,1,C3-F1,BA,0.0,0.0,0.0
HK,1993,1,C3-F1,old,,,
HK,1994,1,C3-F1,old,,,
HK,1995,1,C3-F1,old,,,
HK,1993,1,C3-F1,current,0.0,0.0,0.0
HK,1994,1,C3-F1,current,0.0,0.0,0.0
HK,1995,1,C3-F1,current,0.0,0.0,0.0
HK,fixed_three_mean,1,C3-F1,current,0.0,0.0,0.0
HK,1993,1,C3-F1,HM,,,
HK,1994,1,C3-F1,HM,,,
HK,1995,1,C3-F1,HM,,,
HK,1993,1,C3-F1,tail,0.0,0.0,0.0
HK,1994,1,C3-F1,tail,0.0,0.0,0.0
HK,1995,1,C3-F1,tail,,,
HK,1993,1,C2-F1,BA,0.0,0.0,0.0
HK,1994,1,C2-F1,BA,0.0,0.0,0.0
HK,1995,1,C2-F1,BA,0.0,0.0,0.0
HK,fixed_three_mean,1,C2-F1,BA,0.0,0.0,0.0
HK,1993,1,C2-F1,old,,,
HK,1994,1,C2-F1,old,,,
HK,1995,1,C2-F1,old,,,
HK,1993,1,C2-F1,current,0.0,0.0,0.0
HK,1994,1,C2-F1,current,0.0,0.0,0.0
HK,1995,1,C2-F1,current,0.0,0.0,0.0
HK,fixed_three_mean,1,C2-F1,current,0.0,0.0,0.0
HK,1993,1,C2-F1,HM,,,
HK,1994,1,C2-F1,HM,,,
HK,1995,1,C2-F1,HM,,,
HK,1993,1,C2-F1,tail,0.0,0.0,0.0
HK,1994,1,C2-F1,tail,0.0,0.0,0.0
HK,1995,1,C2-F1,tail,,,
HK,1993,1,C3-C2,BA,0.0,0.0,0.0
HK,1994,1,C3-C2,BA,0.0,0.0,0.0
HK,1995,1,C3-C2,BA,0.0,0.0,0.0
HK,fixed_three_mean,1,C3-C2,BA,0.0,0.0,0.0
HK,1993,1,C3-C2,old,,,
HK,1994,1,C3-C2,old,,,
HK,1995,1,C3-C2,old,,,
HK,1993,1,C3-C2,current,0.0,0.0,0.0
HK,1994,1,C3-C2,current,0.0,0.0,0.0
HK,1995,1,C3-C2,current,0.0,0.0,0.0
HK,fixed_three_mean,1,C3-C2,current,0.0,0.0,0.0
HK,1993,1,C3-C2,HM,,,
HK,1994,1,C3-C2,HM,,,
HK,1995,1,C3-C2,HM,,,
HK,1993,1,C3-C2,tail,0.0,0.0,0.0
HK,1994,1,C3-C2,tail,0.0,0.0,0.0
HK,1995,1,C3-C2,tail,,,
HK,1993,1,C3-P,BA,0.0,0.0,0.0
HK,1994,1,C3-P,BA,0.0,0.0,0.0
HK,1995,1,C3-P,BA,0.0,0.0,0.0
HK,fixed_three_mean,1,C3-P,BA,0.0,0.0,0.0
HK,1993,1,C3-P,old,,,
HK,1994,1,C3-P,old,,,
HK,1995,1,C3-P,old,,,
HK,1993,1,C3-P,current,0.0,0.0,0.0
HK,1994,1,C3-P,current,0.0,0.0,0.0
HK,1995,1,C3-P,current,0.0,0.0,0.0
HK,fixed_three_mean,1,C3-P,current,0.0,0.0,0.0
HK,1993,1,C3-P,HM,,,
HK,1994,1,C3-P,HM,,,
HK,1995,1,C3-P,HM,,,
HK,1993,1,C3-P,tail,0.0,0.0,0.0
HK,1994,1,C3-P,tail,0.0,0.0,0.0
HK,1995,1,C3-P,tail,,,
HK,1993,1,C3-C0,BA,0.0,0.0,0.0
HK,1994,1,C3-C0,BA,0.0,0.0,0.0
HK,1995,1,C3-C0,BA,0.0,0.0,0.0
HK,fixed_three_mean,1,C3-C0,BA,0.0,0.0,0.0
HK,1993,1,C3-C0,old,,,
HK,1994,1,C3-C0,old,,,
HK,1995,1,C3-C0,old,,,
HK,1993,1,C3-C0,current,0.0,0.0,0.0
HK,1994,1,C3-C0,current,0.0,0.0,0.0
HK,1995,1,C3-C0,current,0.0,0.0,0.0
HK,fixed_three_mean,1,C3-C0,current,0.0,0.0,0.0
HK,1993,1,C3-C0,HM,,,
HK,1994,1,C3-C0,HM,,,
HK,1995,1,C3-C0,HM,,,
HK,1993,1,C3-C0,tail,0.0,0.0,0.0
HK,1994,1,C3-C0,tail,0.0,0.0,0.0
HK,1995,1,C3-C0,tail,,,
HK,1993,2,C3-F1,BA,0.0,0.0,0.0
HK,1994,2,C3-F1,BA,0.0,0.0,0.0
HK,1995,2,C3-F1,BA,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-F1,BA,0.0,0.0,0.0
HK,1993,2,C3-F1,old,0.0,0.0,0.0
HK,1994,2,C3-F1,old,0.0,0.0,0.0
HK,1995,2,C3-F1,old,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-F1,old,0.0,0.0,0.0
HK,1993,2,C3-F1,current,0.0,0.0,0.0
HK,1994,2,C3-F1,current,0.0,0.0,0.0
HK,1995,2,C3-F1,current,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-F1,current,0.0,0.0,0.0
HK,1993,2,C3-F1,HM,0.0,0.0,0.0
HK,1994,2,C3-F1,HM,0.0,0.0,0.0
HK,1995,2,C3-F1,HM,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-F1,HM,0.0,0.0,0.0
HK,1993,2,C3-F1,tail,0.0,0.0,0.0
HK,1994,2,C3-F1,tail,0.0,0.0,0.0
HK,1995,2,C3-F1,tail,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-F1,tail,0.0,0.0,0.0
HK,1993,2,C2-F1,BA,0.0,0.0,0.0
HK,1994,2,C2-F1,BA,0.0,0.0,0.0
HK,1995,2,C2-F1,BA,0.0,0.0,0.0
HK,fixed_three_mean,2,C2-F1,BA,0.0,0.0,0.0
HK,1993,2,C2-F1,old,0.0,0.0,0.0
HK,1994,2,C2-F1,old,0.0,0.0,0.0
HK,1995,2,C2-F1,old,0.0,0.0,0.0
HK,fixed_three_mean,2,C2-F1,old,0.0,0.0,0.0
HK,1993,2,C2-F1,current,0.0,0.0,0.0
HK,1994,2,C2-F1,current,0.0,0.0,0.0
HK,1995,2,C2-F1,current,0.0,0.0,0.0
HK,fixed_three_mean,2,C2-F1,current,0.0,0.0,0.0
HK,1993,2,C2-F1,HM,0.0,0.0,0.0
HK,1994,2,C2-F1,HM,0.0,0.0,0.0
HK,1995,2,C2-F1,HM,0.0,0.0,0.0
HK,fixed_three_mean,2,C2-F1,HM,0.0,0.0,0.0
HK,1993,2,C2-F1,tail,0.0,0.0,0.0
HK,1994,2,C2-F1,tail,0.0,0.0,0.0
HK,1995,2,C2-F1,tail,0.0,0.0,0.0
HK,fixed_three_mean,2,C2-F1,tail,0.0,0.0,0.0
HK,1993,2,C3-C2,BA,0.0,0.0,0.0
HK,1994,2,C3-C2,BA,0.0,0.0,0.0
HK,1995,2,C3-C2,BA,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-C2,BA,0.0,0.0,0.0
HK,1993,2,C3-C2,old,0.0,0.0,0.0
HK,1994,2,C3-C2,old,0.0,0.0,0.0
HK,1995,2,C3-C2,old,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-C2,old,0.0,0.0,0.0
HK,1993,2,C3-C2,current,0.0,0.0,0.0
HK,1994,2,C3-C2,current,0.0,0.0,0.0
HK,1995,2,C3-C2,current,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-C2,current,0.0,0.0,0.0
HK,1993,2,C3-C2,HM,0.0,0.0,0.0
HK,1994,2,C3-C2,HM,0.0,0.0,0.0
HK,1995,2,C3-C2,HM,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-C2,HM,0.0,0.0,0.0
HK,1993,2,C3-C2,tail,0.0,0.0,0.0
HK,1994,2,C3-C2,tail,0.0,0.0,0.0
HK,1995,2,C3-C2,tail,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-C2,tail,0.0,0.0,0.0
HK,1993,2,C3-P,BA,0.0,0.0,0.0
HK,1994,2,C3-P,BA,-0.15625,-0.46875,0.0
HK,1995,2,C3-P,BA,0.15625,0.0,0.46875
HK,fixed_three_mean,2,C3-P,BA,0.0,-0.15625,0.15625
HK,1993,2,C3-P,old,0.0,0.0,0.0
HK,1994,2,C3-P,old,0.0,0.0,0.0
HK,1995,2,C3-P,old,0.3125,0.0,0.9375
HK,fixed_three_mean,2,C3-P,old,0.10416666666666667,0.0,0.3125
HK,1993,2,C3-P,current,0.0,0.0,0.0
HK,1994,2,C3-P,current,-0.3125,-0.9375,0.0
HK,1995,2,C3-P,current,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-P,current,-0.10416666666666667,-0.3125,0.0
HK,1993,2,C3-P,HM,0.0,0.0,0.0
HK,1994,2,C3-P,HM,-0.16655230747799976,-0.5158490543119001,0.0
HK,1995,2,C3-P,HM,0.15996526584065407,0.0,0.485989144463214
HK,fixed_three_mean,2,C3-P,HM,-0.0021956805457818973,-0.16606929070121149,0.15897145468816612
HK,1993,2,C3-P,tail,0.0,0.0,0.0
HK,1994,2,C3-P,tail,0.0,0.0,0.0
HK,1995,2,C3-P,tail,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-P,tail,0.0,0.0,0.0
HK,1993,2,C3-C0,BA,3.5714285714285694,0.0,10.714285714285722
HK,1994,2,C3-C0,BA,3.125,0.0,9.375
HK,1995,2,C3-C0,BA,0.15625,0.0,0.46875
HK,fixed_three_mean,2,C3-C0,BA,2.28422619047619,0.0,5.706845238095241
HK,1993,2,C3-C0,old,7.142857142857139,0.0,21.42857142857143
HK,1994,2,C3-C0,old,6.25,0.0,18.75
HK,1995,2,C3-C0,old,0.3125,0.0,0.9375
HK,fixed_three_mean,2,C3-C0,old,4.56845238095238,0.0,11.413690476190476
HK,1993,2,C3-C0,current,0.0,0.0,0.0
HK,1994,2,C3-C0,current,0.0,0.0,0.0
HK,1995,2,C3-C0,current,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-C0,current,0.0,0.0,0.0
HK,1993,2,C3-C0,HM,3.4784802403078885,0.0,11.582861102175144
HK,1994,2,C3-C0,HM,3.017944653518171,0.0,9.857185683652181
HK,1995,2,C3-C0,HM,0.15996526584065407,0.0,0.485989144463214
HK,fixed_three_mean,2,C3-C0,HM,2.2187967198889047,0.0,5.863443610580986
HK,1993,2,C3-C0,tail,14.285714285714292,0.0,42.857142857142854
HK,1994,2,C3-C0,tail,12.5,0.0,37.5
HK,1995,2,C3-C0,tail,0.0,0.0,0.0
HK,fixed_three_mean,2,C3-C0,tail,8.92857142857143,0.0,22.61904761904762
HK,1993,3,C3-F1,BA,0.0,0.0,0.0
HK,1994,3,C3-F1,BA,0.0,0.0,0.0
HK,1995,3,C3-F1,BA,0.0,0.0,0.0
HK,fixed_three_mean,3,C3-F1,BA,0.0,0.0,0.0
HK,1993,3,C3-F1,old,0.0,0.0,0.0
HK,1994,3,C3-F1,old,0.0,0.0,0.0
HK,1995,3,C3-F1,old,0.0,0.0,0.0
HK,fixed_three_mean,3,C3-F1,old,0.0,0.0,0.0
HK,1993,3,C3-F1,current,0.0,0.0,0.0
HK,1994,3,C3-F1,current,0.0,0.0,0.0
HK,1995,3,C3-F1,current,0.0,0.0,0.0
HK,fixed_three_mean,3,C3-F1,current,0.0,0.0,0.0
HK,1993,3,C3-F1,HM,0.0,0.0,0.0
